Date,Open,High,Low,Close,Adjusted,Volume,Dividend amount
30-09-2009,24.35,26.25,23.76,25.72,19.2801,1038979700,0
,,,,,,,
31-08-2009,23.82,25.49,23.03,24.65,18.478,993250400,0.13
,,,,,,,
31-07-2009,24.05,25.72,22,23.52,17.5342,1517459800,0
,,,,,,,
30-06-2009,21,24.34,20.86,23.77,17.7206,1411144700,0
,,,,,,,
29-05-2009,20.19,20.94,19.01,20.89,15.5736,1101122400,0.13
,,,,,,,
30-04-2009,18.23,21.2,18.18,20.26,15.0078,1562400700,0
,,,,,,,
31-03-2009,16.035,18.88,14.87,18.37,13.6078,1625752800,0
,,,,,,,
27-02-2009,17.01,19.93,16.1,16.15,11.9633,1456213400,0.13
,,,,,,,
30-01-2009,19.5328,21,16.75,17.1,12.5766,1564043400,0
,,,,,,,
31-12-2008,19.875,21.25,18.47,19.44,14.2977,1546943400,0
,,,,,,,
28-11-2008,22.48,23.66,17.5,20.22,14.8713,1794911800,0.13
,,,,,,,
31-10-2008,26.38,27.47,20.65,22.33,16.3151,3044579400,0
,,,,,,,
30-09-2008,27.665,27.76,23.5,26.69,19.5007,1927538700,0
,,,,,,,
29-08-2008,25.95,28.5,25.07,27.29,19.939,1206949700,0.11
,,,,,,,
31-07-2008,27.22,27.91,24.87,25.72,18.7166,1579425446,0
,,,,,,,
30-06-2008,28.24,29.57,27.11,27.51,20.0192,1560439100,0
,,,,,,,
30-05-2008,28.48,30.53,27.95,28.32,20.6086,1405170200,0.11
,,,,,,,
30-04-2008,28.83,32.1,27.93,28.52,20.6778,1444720000,0
,,,,,,,
31-03-2008,27.24,29.59,26.87,28.38,20.5763,1452390200,0
,,,,,,,
29-02-2008,31.06,33.25,27.02,27.1999,19.7207,2324580800,0.11
,,,,,,,
31-01-2008,35.79,35.96,31.04,32.6,23.5439,1950301600,0
,,,,,,,
31-12-2007,33.5,36.72,32.63,35.6,25.7106,1064817100,0
,,,,,,,
30-11-2007,36.53,37.5,32.68,33.6,24.2662,1830846800,0.11
,,,,,,,
31-10-2007,29.46,37,29.29,36.81,26.4998,1772076700,0
,,,,,,,
28-09-2007,28.5,29.85,28.27,29.46,21.2085,1117419500,0
,,,,,,,
31-08-2007,28.97,30.1,27.51,28.73,20.683,1228579500,0.1
,,,,,,,
31-07-2007,29.67,31.84,28.95,28.99,20.7966,1295548000,0
,,,,,,,
29-06-2007,30.79,30.9,29.04,29.47,21.1409,1181412800,0
,,,,,,,
31-05-2007,29.94,31.16,29.9,30.6901,22.0162,1327154700,0.1
,,,,,,,
30-04-2007,27.89,30.74,27.56,29.94,21.4088,958964900,0
,,,,,,,
30-03-2007,27.82,28.55,26.6,27.87,19.9286,1269506500,0
,,,,,,,
28-02-2007,30.84,30.94,27.79,28.17,20.1432,1290850900,0.1
,,,,,,,
31-01-2007,29.91,31.48,29.4,30.86,21.9909,1324518200,0
,,,,,,,
29-12-2006,29.23,30.26,28.8,29.86,21.2783,1137160900,0
,,,,,,,
30-11-2006,28.78,30.0001,28.58,29.36,20.922,1239142000,0.1
,,,,,,,
31-10-2006,27.32,28.8501,27.15,28.71,20.389,1290967400,0
,,,,,,,
29-09-2006,25.89,27.52,25.39,27.35,19.4232,1097482600,0
,,,,,,,
31-08-2006,24.02,26.2501,23.85,25.7,18.2514,1134188400,0.09
,,,,,,,
31-07-2006,23.53,24.6,22.23,24.06,17.0245,1332298100,0
,,,,,,,
30-06-2006,22.74,23.65,21.4599,23.3,16.4867,1971637200,0
,,,,,,,
